Date,Open,High,Low,Close,Adj Close,Volume
2016-10-17,10516.299805,10531.459961,10481.589844,10492.860352,10492.860352,2830390000
2016-10-18,10578.889648,10583.830078,10539.799805,10567.809570,10567.809570,3170000000
2016-10-19,10580.450195,10623.299805,10561.129883,10600.919922,10600.919922,3362670000
2016-10-20,10587.830078,10626.440430,10560.980469,10597.360352,10597.360352,3337170000
2016-10-21,10545.120117,10580.150391,10522.320313,10571.879883,10571.879883,3448850000
2016-10-24,10610.580078,10629.629883,10567.240234,10591.299805,10591.299805,3357320000
2016-10-25,10575.190430,10590.589844,10542.629883,10550.190430,10550.190430,3751340000
2016-10-26,10505.990234,10558.750000,10497.379883,10528.190430,10528.190430,3775200000
2016-10-27,10561.540039,10562.910156,10495.870117,10503.059570,10503.059570,4204830000
2016-10-28,10495.309570,10538.209961,10447.250000,10476.620117,10476.620117,4019510000
2016-10-31,10476.919922,10505.990234,10465.419922,10481.889648,10481.889648,3922400000
2016-11-01,10508.009766,10513.530273,10354.860352,10414.049805,10414.049805,4532160000
2016-11-02,10389.950195,10407.320313,10316.440430,10334.500000,10334.500000,4248580000
2016-11-03,10350.610352,10370.269531,10292.950195,10307.639648,10307.639648,3886740000
2016-11-04,10308.309570,10352.980469,10281.480469,10289.349609,10289.349609,3837860000
2016-11-07,10416.339844,10500.190430,10416.339844,10500.160156,10500.160156,3736060000
2016-11-08,10462.839844,10563.509766,10454.349609,10530.559570,10530.559570,3916930000
2016-11-09,10477.790039,10679.690430,10474.730469,10643.410156,10643.410156,6264150000
2016-11-10,10678.969727,10735.000000,10617.839844,10683.410156,10683.410156,6451640000
2016-11-11,10644.559570,10660.980469,10585.629883,10652.240234,10652.240234,4988050000
2016-11-14,10660.450195,10695.570313,10633.980469,10679.769531,10679.769531,5367200000
2016-11-15,10680.419922,10745.530273,10664.849609,10745.509766,10745.509766,4543860000
2016-11-16,10705.469727,10719.889648,10677.269531,10699.429688,10699.429688,3830590000
2016-11-17,10717.879883,10759.150391,10717.679688,10740.080078,10740.080078,3809160000
2016-11-18,10725.339844,10735.089844,10695.219727,10709.509766,10709.509766,3572400000
2016-11-21,10753.250000,10793.370117,10752.080078,10791.839844,10791.839844,3607010000
2016-11-22,10793.339844,10828.269531,10768.599609,10820.179688,10820.179688,3957940000
2016-11-23,10772.610352,10837.230469,10768.799805,10835.900391,10835.900391,3418640000
2016-11-25,10854.690430,10878.099609,10852.889648,10878.089844,10878.089844,1584600000
2016-11-28,10857.469727,10864.769531,10803.089844,10808.629883,10808.629883,3505650000
2016-11-29,10798.919922,10842.280273,10786.400391,10817.700195,10817.700195,3706560000
